Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
DRC01,OUT010,762.341
DRC36,OUT010,1524.0162
DRD12,OUT010,1090.5804
DRE13,OUT010,1090.5804
DRE15,OUT010,303.6048
DRE48,OUT010,1524.0162
DRF01,OUT010,291.6204
DRF15,OUT010,306.268
DRF48,OUT010,1090.5804
DRF51,OUT010,762.341
DRG13,OUT010,1524.0162
DRG23,OUT010,1090.5804
DRG37,OUT010,311.5944
DRG48,OUT010,1524.0162
DRH11,OUT010,762.341
DRH23,OUT010,111.1886
DRH37,OUT010,822.263
DRH39,OUT010,159.792
DRH49,OUT010,196.411
DRI03,OUT010,724.3904
DRJ25,OUT010,762.341
DRJ39,OUT010,1524.0162
DRJ47,OUT010,1524.0162
DRK13,OUT010,1775.6886
DRK39,OUT010,1090.5804
DRK47,OUT010,1775.6886
DRK49,OUT010,40.6138
DRL11,OUT010,1524.0162
DRL37,OUT010,762.341
DRM11,OUT010,1775.6886
DRM48,OUT010,762.341
DRO35,OUT010,1524.0162
DRP47,OUT010,1775.6886
DRZ24,OUT010,1775.6886
FDA02,OUT010,288.9572
FDA09,OUT010,1775.6886
FDA13,OUT010,37.9506
FDA22,OUT010,1775.6886
FDA23,OUT010,1090.5804
FDA26,OUT010,219.0482
FDA31,OUT010,1090.5804
FDA38,OUT010,551.2824
FDA40,OUT010,762.341
FDA46,OUT010,1775.6886
FDA52,OUT010,1775.6886
FDA56,OUT010,1524.0162
FDB03,OUT010,1775.6886
FDB04,OUT010,387.4956
FDB09,OUT010,231.6984
FDB10,OUT010,1090.5804
FDB11,OUT010,1775.6886
FDB20,OUT010,762.341
FDB23,OUT010,474.0496
FDB33,OUT010,477.3786
FDB35,OUT010,197.0768
FDB38,OUT010,319.584
FDB44,OUT010,1524.0162
FDB47,OUT010,1090.5804
FDB59,OUT010,1524.0162
FDC03,OUT010,1775.6886
FDC10,OUT010,231.6984
FDC20,OUT010,149.1392
FDC22,OUT010,1775.6886
FDC28,OUT010,107.8596
FDC32,OUT010,276.307
FDC33,OUT010,1524.0162
FDC37,OUT010,329.571
FDC44,OUT010,1775.6886
FDC51,OUT010,1061.951
FDC56,OUT010,1090.5804
FDC57,OUT010,886.8456
FDD05,OUT010,387.4956
FDD08,OUT010,762.341
FDD09,OUT010,1524.0162
FDD14,OUT010,368.8532
FDD22,OUT010,1775.6886
FDD32,OUT010,762.341
FDD33,OUT010,1775.6886
FDD40,OUT010,1524.0162
FDD45,OUT010,1090.5804
FDD48,OUT010,1061.951
FDD51,OUT010,91.8804
FDD58,OUT010,426.112
FDE02,OUT010,455.4072
FDE21,OUT010,1061.951
FDE23,OUT010,762.341
FDE29,OUT010,762.341
FDE36,OUT010,1524.0162
FDE45,OUT010,724.3904
FDE47,OUT010,1061.951
FDF02,OUT010,1061.951
FDF09,OUT010,762.341
FDF11,OUT010,1575.2828
FDF28,OUT010,1061.951
FDF29,OUT010,1061.951
FDF39,OUT010,1575.2828
FDF41,OUT010,1775.6886
FDF44,OUT010,1775.6886
FDF59,OUT010,1061.951
FDG28,OUT010,1575.2828
FDG56,OUT010,1061.951
FDG60,OUT010,1775.6886
FDH02,OUT010,762.341
FDH04,OUT010,271.6464
FDH05,OUT010,1775.6886
FDH08,OUT010,474.0496
FDH12,OUT010,316.255
FDH16,OUT010,1061.951
FDH20,OUT010,1061.951
FDH28,OUT010,37.9506
FDH31,OUT010,196.411
FDH32,OUT010,1061.951
FDH41,OUT010,427.4436
FDH46,OUT010,1090.5804
FDH52,OUT010,231.6984
FDI04,OUT010,1162.4868
FDI15,OUT010,529.9768
FDI27,OUT010,762.341
FDI28,OUT010,762.341
FDI36,OUT010,1775.6886
FDI41,OUT010,147.1418
FDI53,OUT010,1090.5804
FDJ02,OUT010,296.9468
FDJ10,OUT010,1090.5804
FDJ12,OUT010,1524.0162
FDJ26,OUT010,1775.6886
FDJ32,OUT010,762.341
FDJ33,OUT010,1775.6886
FDJ50,OUT010,762.341
FDJ53,OUT010,1061.951
FDJ60,OUT010,1775.6886
FDK26,OUT010,1288.323
FDK33,OUT010,213.056
FDK34,OUT010,1575.2828
FDK36,OUT010,762.341
FDK41,OUT010,1061.951
FDK48,OUT010,1090.5804
FDK57,OUT010,1524.0162
FDL03,OUT010,1524.0162
FDL09,OUT010,197.0768
FDL12,OUT010,296.281
FDL15,OUT010,231.6984
FDL16,OUT010,231.6984
FDL26,OUT010,1775.6886
FDL27,OUT010,762.341
FDL39,OUT010,1775.6886
FDM20,OUT010,1575.2828
FDM22,OUT010,83.8908
FDM24,OUT010,1090.5804
FDM40,OUT010,1061.951
FDM46,OUT010,1090.5804
FDM56,OUT010,277.6386
FDM60,OUT010,762.341
