Internet Movie Database;awards;poster;year;writer;country;director;duration;dvdYear;imdb_id;title;imdb_rating;language;imdb_votes;plot;genre;Rotten tomatoes;actors;Metacritic;metascore;releasedMonth;releasedYear;production
83.0;Nominated for 3 Oscars. Another 23 wins & 17 nominations.;https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_SX300.jpg;1995;John Lasseter (original story by), Pete Docter (original story by), Andrew Stanton (original story by), Joe Ranft (original story by), Joss Whedon (screenplay by), Andrew Stanton (screenplay by), Joel Cohen (screenplay by), Alec Sokolow (screenplay by);USA;John Lasseter;81;2001;tt0114709;Toy Story;8.3;English;761,649;A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.;Animation, Adventure, Comedy, Family, Fantasy;100;Tom Hanks, Tim Allen, Don Rickles, Jim Varney;95.0;95;Nov;1995;Buena Vista
69.0;4 wins & 9 nominations.;https://m.media-amazon.com/images/M/MV5BZTk2ZmUwYmEtNTcwZS00YmMyLWFkYjMtNTRmZDA3YWExMjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;1995;Jonathan Hensleigh (screenplay by), Greg Taylor (screenplay by), Jim Strain (screenplay by), Greg Taylor (screen story by), Jim Strain (screen story by), Chris Van Allsburg (screen story by), Chris Van Allsburg (based on the book by);USA;Joe Johnston;104;2000;tt0113497;Jumanji;6.9;English, French;258,966;When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.;Adventure, Family, Fantasy;53;Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce;39.0;39;Dec;1995;Sony Pictures Home Entertainment
66.0;2 wins & 2 nominations.;https://m.media-amazon.com/images/M/MV5BMjQxM2YyNjMtZjUxYy00OGYyLTg0MmQtNGE2YzNjYmUyZTY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;1995;Mark Steven Johnson (characters), Mark Steven Johnson;USA;Howard Deutch;101;1997;tt0113228;Grumpier Old Men;6.6;English, Italian, German;21,823;John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.;Comedy, Romance;17;Walter Matthau, Jack Lemmon, Sophia Loren, Ann-Margret;46.0;46;Dec;1995;Warner Home Video
58.0;8 wins & 9 nominations.;https://m.media-amazon.com/images/M/MV5BYzcyMDY2YWQtYWJhYy00OGQ2LTk4NzktYWJkNDYwZWJmY2RjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg;1995;Terry McMillan (novel), Terry McMillan (screenplay), Ronald Bass (screenplay);USA;Forest Whitaker;124;2001;tt0114885;Waiting to Exhale;5.8;English;8,407;Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.;Comedy, Drama, Romance;56;Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon;0;N/A;Dec;1995;Twentieth Century Fox Home Entertainment
60.0;Nominated for 1 Golden Globe. Another 1 win & 1 nomination.;https://m.media-amazon.com/images/M/MV5BOTEyNzg5NjYtNDU4OS00MWYxLWJhMTItYWU4NTkyNDBmM2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;1995;Albert Hackett (screenplay Father's Little Dividend), Frances Goodrich (screenplay Father's Little Dividend), Nancy Meyers (screenplay), Charles Shyer (screenplay);USA;Charles Shyer;106;2000;tt0113041;Father of the Bride Part II;6.0;English;30,387;George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.;Comedy, Family, Romance;48;Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley;49.0;49;Dec;1995;Disney
82.0;12 nominations.;https://m.media-amazon.com/images/M/MV5BNDc0YTQ5NGEtM2NkYS00MWRhLThiNzAtNmY3NWU3YzNkMjIyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg;1995;Michael Mann;USA;Michael Mann;170;1999;tt0113277;Heat;8.2;English, Spanish;508,985;A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.;Crime, Drama, Thriller;86;Al Pacino, Robert De Niro, Val Kilmer, Jon Voight;76.0;76;Dec;1995;Warner Bros.
63.0;Nominated for 2 Oscars. Another 2 wins & 4 nominations.;https://m.media-amazon.com/images/M/MV5BYjQ5ZjQ0YzQtOGY3My00MWVhLTgzNWItOTYwMTE5N2ZiMDUyXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg;1995;Samuel A. Taylor (play), Billy Wilder (earlier screenplay), Samuel A. Taylor (earlier screenplay), Ernest Lehman (earlier screenplay), Barbara Benedek (screenplay), David Rayfiel (screenplay);Germany, USA;Sydney Pollack;127;2002;tt0114319;Sabrina;6.3;English, French;33,162;An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.;Comedy, Drama;64;Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand;56.00000000000001;56;Dec;1995;Paramount
56.0;1 win & 5 nominations.;https://m.media-amazon.com/images/M/MV5BN2ZkZTMxOTAtMzg1Mi00M2U0LWE2NWItZDg4YmQyZjVkMDdhXkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_SX300.jpg;1995;Mark Twain (novel), Stephen Sommers (screenplay), David Loughery (screenplay);USA;Peter Hewitt;97;2003;tt0112302;Tom and Huck;5.6;English;8,742;Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.;Adventure, Comedy, Drama, Family, Romance, Western;25;Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket;0;N/A;Dec;1995;Buena Vista
57.0;N/A;https://m.media-amazon.com/images/M/MV5BN2NjYWE5NjMtODlmZC00MjJhLWFkZTktYTJlZTI4YjVkMGNmXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg;1995;Karen Elise Baldwin (story), Gene Quintano (screenplay);USA;Peter Hyams;111;1998;tt0114576;Sudden Death;5.7;English;29,070;A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.;Action, Crime, Thriller;54;Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright;0;N/A;Dec;1995;MCA Universal Home Video
72.0;Nominated for 2 BAFTA Film Awards. Another 2 wins & 6 nominations.;https://m.media-amazon.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@._V1_SX300.jpg;1995;Ian Fleming (characters), Michael France (story), Jeffrey Caine (screenplay), Bruce Feirstein (screenplay);UK, USA;Martin Campbell;130;1999;tt0113189;GoldenEye;7.2;English, Russian, Spanish;218,219;James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow Agent formerly believed to be dead.;Action, Adventure, Thriller;78;Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen;65.0;65;Nov;1995;MGM/UA
