"imdbId";"av";"nov"
"tt0000417";3.5000000000000004;5
"tt0000439";2.5;2
"tt0000516";4.0;1
"tt0004972";2.0;1
"tt0006333";3.75;2
"tt0006864";3.5;1
"tt0007264";3.5;1
"tt0007361";3.5;1
"tt0008133";4.5;1
"tt0010040";2.0;1
"tt0010323";3.857142857142857;7
"tt0011541";3.5;1
"tt0012349";4.1;5
"tt0013442";3.531250000000001;16
"tt0014142";3.0;1
"tt0014341";3.25;2
"tt0014429";4.0;2
"tt0014624";4.0;2
"tt0014646";4.5;1
"tt0015163";3.5;1
"tt0015324";3.0;2
"tt0015400";3.5;1
"tt0015648";3.6500000000000004;10
"tt0015841";4.0;1
"tt0015864";4.071428571428571;7
"tt0015881";4.0;1
"tt0016641";3.0;1
"tt0016847";4.0;1
"tt0016914";4.5;1
"tt0017075";3.4999999999999996;3
"tt0017136";3.857142857142857;21
"tt0017271";3.5;1
"tt0017416";4.0;1
"tt0017739";3.0;1
"tt0017765";3.5;1
"tt0017925";3.9999999999999996;9
"tt0018037";4.0;1
"tt0018328";1.0;1
"tt0018455";4.0;1
"tt0018773";4.125;4
"tt0019254";3.9000000000000004;5
"tt0019421";4.5;1
"tt0019422";2.333333333333333;3
"tt0019729";3.0;1
"tt0019760";3.333333333333333;3
"tt0019777";3.5;1
"tt0020530";4.5;4
"tt0020629";4.3500000000000005;10
"tt0020640";4.125;4
"tt0020641";3.5;1
"tt0020697";4.0;1
"tt0020827";4.0;1
"tt0021079";4.0;1
"tt0021746";3.5;1
"tt0021749";3.8461538461538463;13
"tt0021814";3.333333333333334;9
"tt0021884";3.909090909090909;11
"tt0021890";3.5;1
"tt0021910";5.0;1
"tt0022002";0.5;1
"tt0022100";3.733333333333333;15
"tt0022111";3.61764705882353;17
"tt0022183";3.5;1
"tt0022286";4.25;2
"tt0022599";1.0;1
"tt0022718";0.5;1
"tt0022835";2.0;2
"tt0022879";3.0;1
"tt0022913";3.1666666666666665;9
"tt0022958";4.0;2
"tt0023027";4.0;2
"tt0023042";3.6666666666666665;3
"tt0023245";3.333333333333333;3
"tt0023427";3.75;2
"tt0023563";4.0;1
"tt0023622";3.5;1
"tt0023753";4.0;1
"tt0023948";3.5;1
"tt0023969";3.804347826086955;23
"tt0024025";3.0;1
"tt0024034";3.9999999999999996;3
"tt0024069";3.5;1
"tt0024184";3.5;2
"tt0024216";3.639999999999999;25
"tt0024264";4.0;5
"tt0024601";3.0;1
"tt0024803";4.0;1
"tt0024844";4.5;1
"tt0024852";5.0;1
"tt0024966";4.5;1
"tt0025164";3.5;2
"tt0025316";4.321428571428572;14
"tt0025452";3.666666666666666;3
"tt0025456";3.5;1
"tt0025586";3.5;1
"tt0025878";3.8571428571428568;7
"tt0025913";4.166666666666666;3
"tt0026029";4.045454545454545;11
"tt0026056";3.5;1
"tt0026071";3.5;2
"tt0026138";3.1666666666666665;3
"tt0026174";4.0;2
"tt0026421";3.5;1
"tt0026676";4.5;1
"tt0026714";3.5;1
"tt0026752";4.166666666666667;6
"tt0026778";4.111111111111111;9
"tt0026942";4.0;1
"tt0027075";4.0;1
"tt0027125";4.071428571428572;7
"tt0027260";2.833333333333333;3
"tt0027300";3.0;1
"tt0027630";3.75;2
"tt0027652";3.375;4
"tt0027664";0.5;1
