description,cause_of_incident,from_road,to_road,affected_roads,incident_category_desc,magnitude_of_delay_desc,length_in_meters,delay_in_seconds
stationary traffic,,Rua de São Tomé e Príncipe,N105,,Jam,Major,211,203
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,953,152
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,929,197
stationary traffic,,N105 / Rua da Cruz de Pedra,Avenida de Mariano Felgueiras / Alameda Doutor Mariano Felgueiras,,Jam,Major,180,137
stationary traffic,,N105 / Rua da Cruz de Pedra,Largo 25 de Abril (N101),,Jam,Major,234,326
stationary traffic,,Alameda da Universidade (N309),Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,634,199
stationary traffic,,Quinta de Vilaverde,Urgezes,,Jam,Major,400,207
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,228,226
stationary traffic,,IC5 (Mesão Frio) (N101),Oliveira Do Castelo (N101),N101,Jam,Major,424,146
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Major,1341,318
stationary traffic,,Fermentões,Rua de Santa Eulália (N101),,Jam,Major,177,138
stationary traffic,,N105 / Rua da Cruz de Pedra,Largo 25 de Abril (N101),,Jam,Major,234,335
stationary traffic,,Oliveira Do Castelo (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,333,231
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,1099,173
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),Rua Reitor Francisco José Ribeiro (N101),N101,Jam,Major,615,153
stationary traffic,,N105,Rua do Paio Galvão (N101) / Avenida Conde Margaride,,Jam,Major,553,187
stationary traffic,,N206 (N105),Rua Eduardo Manuel De Almeida (N105),N105,Jam,Major,491,116
stationary traffic,,N105 / Rua da Cruz de Pedra,Largo 25 de Abril (N101),,Jam,Major,234,215
stationary traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,511,202
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),Rua De Santo António (N101),N101,Jam,Major,1139,299
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Major,1519,393
stationary traffic,,N105 (N206),"Acesso A11, Guimarães Oeste (N206)",N206,Jam,Major,1755,289
slow traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Minor,333,43
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,640,131
stationary traffic,,N105 / Rua da Cruz de Pedra,Largo 25 de Abril (N101),,Jam,Major,190,214
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,704,150
stationary traffic,,N207-4 (N309),Rua 24 de Junho (N309),N309,Jam,Major,490,191
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),Rua Reitor Francisco José Ribeiro (N101),N101,Jam,Major,609,202
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,1440,213
stationary traffic,,N105 / Rua da Cruz de Pedra,Largo 25 de Abril (N101),,Jam,Major,190,256
stationary traffic,,Alameda da Universidade (N309),Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,582,190
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,704,220
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,644,151
stationary traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,511,163
slow traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Minor,333,35
stationary traffic,,IC5 (Mesão Frio) (N101),Avenida Do Rio De Janeiro (N101),N101,Jam,Major,441,160
stationary traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,511,180
queuing traffic,,N101,Largo de Navarros de Andrade,,Jam,Moderate,388,141
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,209,178
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,773,196
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,1478,287
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,906,182
slow traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Minor,419,30
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,943,194
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,1541,262
stationary traffic,,Praceta da Resistência ao Fascismo,Avenida do Rio de Janeiro,,Jam,Major,205,239
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,681,132
stationary traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,511,164
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,228,141
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,981,188
stationary traffic,,N105 / Rua de Angola,Alameda Cidade de Lisboa,,Jam,Major,232,396
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,988,174
stationary traffic,,Quinta de Vilaverde,Urgezes,,Jam,Major,423,152
stationary traffic,,Largo da República do Brasil (N101),Urgezes,,Jam,Major,742,263
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,1072,271
stationary traffic,,Rua João Paulo II (N101),Rua De Santo António (N101),N101,Jam,Major,1627,982
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Major,1341,357
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,726,127
queuing traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Moderate,512,87
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,929,223
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,730,224
queuing traffic,,Alameda da Universidade (N309),Alameda Doutor Alfredo Pimenta (N101),,Jam,Moderate,620,152
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,315,229
stationary traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,539,211
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,318,160
stationary traffic,,São Sebastião,Largo da República do Brasil (N101),,Jam,Major,481,136
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,588,166
slow traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Minor,988,116
stationary traffic,,Parque de Estacionamento / Rua Paulo VI,Urgezes,,Jam,Major,280,149
queuing traffic,,N105 (N206),"Acesso A11, Guimarães Oeste (N206)",N206,Jam,Moderate,1717,229
queuing traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Moderate,476,79
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,644,140
stationary traffic,,Largo da República do Brasil (N101),Rua do Centro / Rua Comandante José Luís de Pina,,Jam,Major,410,213
slow traffic,,Rua Eduardo Manuel De Almeida (N105),Rua De Angola (N105),N105,Jam,Minor,261,32
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,981,137
queuing traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Moderate,539,157
queuing traffic,,Largo da República do Brasil (N101),São Sebastião,,Jam,Moderate,479,127
stationary traffic,,Rua Eduardo Manuel De Almeida (N105),Rua De Angola (N105),N105,Jam,Major,201,50
queuing traffic,,Creixomil,Avenida Dom Afonso Henriques,N105,Jam,Moderate,843,170
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,981,162
stationary traffic,,Quinta de Vilaverde,Urgezes,,Jam,Major,490,147
stationary traffic,,Alameda da Universidade (N309),Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,634,190
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),Rua Reitor Francisco José Ribeiro (N101),N101,Jam,Major,779,372
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Major,1379,387
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,640,131
stationary traffic,,N105 / Rua da Cruz de Pedra,Avenida de Mariano Felgueiras / Alameda Doutor Mariano Felgueiras,,Jam,Major,180,256
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),Rua De Santo António (N101),N101,Jam,Major,966,360
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Major,1724,439
stationary traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Major,667,148
stationary traffic,,Quinta de Vilaverde,Urgezes,,Jam,Major,400,131
stationary traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Major,988,241
queuing traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Moderate,568,144
stationary traffic,,Rua Cónogo Doutor Manuel Faria (N309),IC5 (N309),N309,Jam,Major,326,176
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),Rua De Santo António (N101),N101,Jam,Major,1139,304
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,1478,260
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,960,196
stationary traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,568,186
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,256,214
stationary traffic,,Rua Calouste Gulbenkian / Praça Cidade Igualada,Largo Condessa Mumadona (N101),,Jam,Major,170,131
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),Rua De Santo António (N101),N101,Jam,Major,1110,377
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,1341,260
stationary traffic,,Alameda da Universidade (N309),Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,620,221
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,228,170
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,491,117
slow traffic,,Rua Eduardo Manuel De Almeida (N105),Rua De Angola (N105),N105,Jam,Minor,261,29
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,794,153
slow traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Minor,482,51
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,256,156
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,787,130
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,1535,263
queuing traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Moderate,226,37
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,704,108
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,586,153
slow traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Minor,964,119
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,1062,250
stationary traffic,,N105 / Rua da Cruz de Pedra,Avenida de Mariano Felgueiras / Alameda Doutor Mariano Felgueiras,,Jam,Major,180,173
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,272,213
stationary traffic,,Rua João Paulo II (N101),Rua De Santo António (N101),N101,Jam,Major,1489,406
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,1609,324
stationary traffic,,Rua 24 de Junho / Rua Padre Firmino,Rua de Santa Eulália (N101),,Jam,Major,599,243
queuing traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Moderate,590,106
stationary traffic,,N105 / Rua da Cruz de Pedra,Avenida de Mariano Felgueiras / Alameda Doutor Mariano Felgueiras,,Jam,Major,190,154
queuing traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Moderate,584,164
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,209,139
stationary traffic,,Rua João Paulo II (N101),Rua De Santo António (N101),N101,Jam,Major,1452,785
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Major,1341,370
stationary traffic,,Rua 24 de Junho / Rua Padre Firmino,Rua de Santa Eulália (N101),,Jam,Major,599,293
stationary traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Major,681,169
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,228,212
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),Rua De Santo António (N101),N101,Jam,Major,1405,365
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,1161,226
stationary traffic,,Alameda da Universidade (N309),Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,634,237
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,730,136
queuing traffic,,Rua Eduardo Manuel De Almeida (N105),Rua De Angola (N105),N105,Jam,Moderate,281,47
stationary traffic,,Largo Bernardo Valentim Moreira de Sá / Alameda São Dâmaso (N101),Rua Eduardo Manuel de Almeida / Avenida Dom João IV,,Jam,Major,403,163
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,588,148
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,588,158
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,650,183
queuing traffic,,Rua Eduardo Manuel De Almeida (N105),IC5/N101 (N105),N105,Jam,Moderate,460,58
stationary traffic,,Rua De Teixeira De Pascoais (N101),Rua João Paulo II (N101),N101,Jam,Major,588,149
stationary traffic,,Alameda da Universidade (N309),Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,582,225
queuing traffic,,N206 (N105),"Acesso A11, Guimarães Sul (N105)",N105,Jam,Moderate,464,78
stationary traffic,,Rua De Teixeira De Pascoais (N101),Rua João Paulo II (N101),N101,Jam,Major,588,126
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,228,147
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,876,217
stationary traffic,,Urgezes,Largo da República do Brasil (N101),,Jam,Major,325,122
stationary traffic,,Largo Bernardo Valentim Moreira de Sá / Alameda São Dâmaso (N101),Rua Eduardo Manuel de Almeida / Avenida Dom João IV,,Jam,Major,403,185
stationary traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Major,718,162
slow traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Minor,435,53
stationary traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Major,333,96
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,328,339
queuing traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Moderate,461,61
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,228,177
slow traffic,,Alameda São Dâmaso,Largo de Navarros de Andrade,N101,Jam,Minor,502,152
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,247,251
stationary traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Major,435,92
stationary traffic,,Rua De São Gonçalo/Rua De Gil Vicente (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,664,428
queuing traffic,,N101,Largo de Navarros de Andrade,,Jam,Moderate,323,126
stationary traffic,,Rua De São Gonçalo/Rua De Gil Vicente (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,664,514
queuing traffic,,Alameda de São Dâmaso (N101),Largo de Navarros de Andrade,,Jam,Moderate,279,164
queuing traffic,,Rua Eduardo Manuel De Almeida (N105),Rua De Angola (N105),N105,Jam,Moderate,216,36
stationary traffic,,Rua De São Gonçalo/Rua De Gil Vicente (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,298,246
stationary traffic,,Rua De Cam?es (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,344,178
stationary traffic,,Alameda São Dâmaso,Rua Rainha Dona Maria II,N101,Jam,Major,356,226
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,256,184
stationary traffic,,Rua De São Gonçalo/Rua De Gil Vicente (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,338,276
stationary traffic,,Alameda São Dâmaso,Largo de Navarros de Andrade,N101,Jam,Major,502,304
stationary traffic,,Rua De Teixeira De Pascoais (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,342,338
stationary traffic,,Alameda São Dâmaso,Largo de Navarros de Andrade,N101,Jam,Major,502,374
stationary traffic,,Rua De São Gonçalo/Rua De Gil Vicente (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,704,458
queuing traffic,,N101,Rua de Santo António,,Jam,Moderate,281,135
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,209,155
stationary traffic,,Rua De São Gonçalo/Rua De Gil Vicente (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,313,181
stationary traffic,,Alameda São Dâmaso,Largo 25 de Abril,N101,Jam,Major,223,121
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,532,145
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,588,145
queuing traffic,,Rua De Cam?es (N101),Largo Da República Do Brasil (N101),N101,Jam,Moderate,305,120
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,1146,233
queuing traffic,,N101,Largo de Navarros de Andrade,,Jam,Moderate,417,198
stationary traffic,,Alameda São Dâmaso,Rua de Santo António,N101,Jam,Major,366,250
queuing traffic,,N101,Rua Rainha Dona Maria II,,Jam,Moderate,303,151
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,615,169
queuing traffic,,N101,Rua de Santo António,,Jam,Moderate,281,152
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,558,129
stationary traffic,,Rua João Paulo II (N101),IC5/N105 (N101),N101,Jam,Major,767,201
stationary traffic,,N101,Rua Rainha Dona Maria II,,Jam,Major,243,159
stationary traffic,,N101,Rua Rainha Dona Maria II,,Jam,Major,303,204
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,820,202
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,1112,240
stationary traffic,,N105 / Rua da Cruz de Pedra,Largo 25 de Abril (N101),,Jam,Major,234,222
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,681,234
slow traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Minor,1067,140
queuing traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Moderate,501,85
slow traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Minor,1099,141
stationary traffic,,N105 / Rua da Cruz de Pedra,Largo 25 de Abril (N101),,Jam,Major,234,398
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,615,130
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,209,140
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,851,123
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,650,239
stationary traffic,,Vista Alegre (N105),Avenida Da Igreja (N105),N105,Jam,Major,938,312
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,1171,273
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,299,259
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,704,133
stationary traffic,,Rua Cónogo Doutor Manuel Faria,Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,373,145
stationary traffic,,Vista Alegre (N105),Avenida Da Igreja (N105),N105,Jam,Major,938,285
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,1023,169
queuing traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Moderate,461,62
stationary traffic,,Avenida Conde de Margaride / Travessa dos Gaiteiros,Rua do Paio Galvão (N101) / Largo Comandante Luís de Pina (N101),,Jam,Major,401,169
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,250,203
queuing traffic,,Largo da República do Brasil (N101),Urgezes,,Jam,Moderate,659,121
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,704,156
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,1023,191
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,929,241
queuing traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Moderate,604,139
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,299,192
slow traffic,,N101,Urgezes,,Jam,Minor,787,137
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),Rua De Santo António (N101),N101,Jam,Major,1017,373
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,1240,220
stationary traffic,,Rua De Teixeira De Pascoais (N101),Rua João Paulo II (N101),N101,Jam,Major,1017,248
stationary traffic,,N101,São Sebastião,,Jam,Major,625,195
queuing traffic,,N101,Urgezes,,Jam,Moderate,762,203
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,929,228
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,876,223
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,747,149
queuing traffic,,Urgezes,Largo da República do Brasil (N101),,Jam,Moderate,674,125
stationary traffic,,N105 / Rua da Cruz de Pedra,Avenida de Mariano Felgueiras / Alameda Doutor Mariano Felgueiras,,Jam,Major,180,134
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,318,139
queuing traffic,,Largo da República do Brasil (N101),São Sebastião,,Jam,Moderate,535,129
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,615,182
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,615,147
stationary traffic,,N101,Rua do Centro / Rua Comandante José Luís de Pina,,Jam,Major,532,219
stationary traffic,,São Sebastião,Largo da República do Brasil (N101),,Jam,Major,372,120
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Major,1346,317
stationary traffic,,Rua João Paulo II (N101),Rua De Teixeira De Pascoais (N101),N101,Jam,Major,466,120
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,949,147
stationary traffic,,Rua João Paulo II (N101),Rua De Teixeira De Pascoais (N101),N101,Jam,Major,1259,404
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,876,194
stationary traffic,,N309 (IC5),N101/N105 (IC5),IC5,Jam,Major,1127,261
stationary traffic,,Quinta de Vilaverde,Urgezes,,Jam,Major,532,175
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,747,146
stationary traffic,,Rua João Paulo II (N101),Rua De Teixeira De Pascoais (N101),N101,Jam,Major,644,177
stationary traffic,,Largo Da República Do Brasil (N101),Rua De Cam?es (N101),N101,Jam,Major,171,168
stationary traffic,,Rua Calouste Gulbenkian / Praça Cidade Igualada,Alameda Professor Abel Salazar,,Jam,Major,237,131
stationary traffic,,Rua dos Cuteleiros (N206),Rua do Cruzeiro,,Jam,Major,196,156
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,1005,185
slow traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Minor,971,112
stationary traffic,,N105 / Rua da Cruz de Pedra,Largo 25 de Abril (N101),,Jam,Major,299,190
stationary traffic,,Rua de São Tomé e Príncipe,N105,,Jam,Major,179,141
stationary traffic,,N105 / Rua de Angola,Rua do Salgueiral / Rua da Cruz de Pedra,,Jam,Major,208,377
stationary traffic,,IC5/N105 (N101),Rua De Teixeira De Pascoais (N101),N101,Jam,Major,187,122
stationary traffic,,N105,Rua do Paio Galvão (N101) / Avenida Conde Margaride,,Jam,Major,491,189
stationary traffic,,Rua Eduardo Manuel De Almeida (N105),IC5/N101 (N105),N105,Jam,Major,925,338
stationary traffic,,Rua de São Tomé e Príncipe,N105,,Jam,Major,211,256
