weather_description,temperature,atmospheric_pressure,humidity,wind_speed,cloudiness,current_luminosity,creation_date,dateComplete,creation_time,state
céu pouco nublado,10,1029,100,1,20,DARK,23:00,2019-02-28 23:04:58,2019-02-28,0
céu pouco nublado,11,1029,100,1,20,DARK,22:00,2019-02-28 22:04:58,2019-02-28,0
nuvens dispersas,11,1029,93,2,40,DARK,21:00,2019-02-28 21:04:58,2019-02-28,0
nuvens quebradas,12,1029,93,3,75,DARK,20:00,2019-02-28 20:04:58,2019-02-28,0
céu pouco nublado,12,1029,87,3,20,DARK,19:00,2019-02-28 19:04:58,2019-02-28,0
algumas nuvens,13,1029,87,4,20,LOW_LIGHT,18:00,2019-02-28 18:04:58,2019-02-28,0
algumas nuvens,14,1030,82,3,20,LIGHT,17:00,2019-02-28 17:04:58,2019-02-28,0
algumas nuvens,15,1030,82,4,20,LIGHT,16:00,2019-02-28 16:04:58,2019-02-28,0
algumas nuvens,15,1030,82,3,20,LIGHT,15:00,2019-02-28 15:04:58,2019-02-28,0
céu claro,15,1031,76,2,0,LIGHT,14:00,2019-02-28 14:04:58,2019-02-28,0
céu claro,15,1032,71,2,0,LIGHT,13:00,2019-02-28 13:04:59,2019-02-28,0
céu claro,14,1032,71,3,0,LIGHT,12:00,2019-02-28 12:04:58,2019-02-28,0
céu claro,12,1032,81,1,0,LIGHT,11:00,2019-02-28 11:04:59,2019-02-28,0
céu claro,9,1032,93,1,0,LIGHT,10:00,2019-02-28 10:04:58,2019-02-28,0
algumas nuvens,8,1032,93,1,12,LIGHT,9:00,2019-02-28 09:04:58,2019-02-28,0
algumas nuvens,4,1031,100,1,20,LIGHT,8:00,2019-02-28 08:04:59,2019-02-28,0
algumas nuvens,4,1031,100,0,20,DARK,7:00,2019-02-28 07:04:58,2019-02-28,0
chuva fraca,5,1031,100,1,20,DARK,6:00,2019-02-28 06:04:58,2019-02-28,1
nuvens dispersas,5,1030,100,0,48,DARK,5:00,2019-02-28 05:04:58,2019-02-28,0
céu claro,7,1030,100,1,0,DARK,4:00,2019-02-28 04:04:58,2019-02-28,0
tempo nublado,6,1031,100,1,88,DARK,3:00,2019-02-28 03:04:58,2019-02-28,0
tempo nublado,7,1031,100,1,88,DARK,2:00,2019-02-28 02:05:01,2019-02-28,0
algumas nuvens,8,1031,100,1,20,DARK,1:00,2019-02-28 01:04:58,2019-02-28,0
céu claro,9,1031,100,1,0,DARK,00:00,2019-02-28 00:04:58,2019-02-28,0
céu claro,9,1031,100,0,0,DARK,23:00,2019-02-27 23:04:58,2019-02-27,0
céu claro,10,1031,93,1,0,DARK,22:00,2019-02-27 22:04:58,2019-02-27,0
céu claro,11,1031,93,0,0,DARK,21:00,2019-02-27 21:04:58,2019-02-27,0
algumas nuvens,12,1030,87,0,20,DARK,20:00,2019-02-27 20:04:58,2019-02-27,0
algumas nuvens,13,1030,87,1,20,DARK,19:00,2019-02-27 19:04:58,2019-02-27,0
algumas nuvens,14,1029,76,1,20,LOW_LIGHT,18:00,2019-02-27 18:04:58,2019-02-27,0
algumas nuvens,15,1029,62,1,20,LIGHT,17:00,2019-02-27 17:04:58,2019-02-27,0
nuvens dispersas,15,1028,67,2,40,LIGHT,16:00,2019-02-27 16:04:59,2019-02-27,0
nuvens dispersas,15,1028,72,3,40,LIGHT,15:00,2019-02-27 15:04:58,2019-02-27,0
nuvens dispersas,14,1028,72,4,40,LIGHT,14:00,2019-02-27 14:04:58,2019-02-27,0
chuva moderada,15,1029,76,3,75,LIGHT,13:00,2019-02-27 13:04:59,2019-02-27,1
nuvens quebrados,16,1028,77,5,75,LIGHT,12:00,2019-02-27 12:04:58,2019-02-27,0
nuvens quebrados,15,1028,62,7,75,LIGHT,11:00,2019-02-27 11:04:58,2019-02-27,0
nuvens dispersas,14,1027,58,7,40,LIGHT,10:00,2019-02-27 10:04:58,2019-02-27,0
nuvens dispersas,13,1026,58,6,40,LIGHT,9:00,2019-02-27 09:04:58,2019-02-27,0
nuvens dispersas,11,1026,62,5,40,LIGHT,8:00,2019-02-27 08:04:58,2019-02-27,0
algumas nuvens,11,1025,62,5,20,DARK,7:00,2019-02-27 07:04:58,2019-02-27,0
céu claro,12,1025,71,5,0,DARK,6:00,2019-02-27 06:04:58,2019-02-27,0
céu claro,12,1025,62,5,0,DARK,5:00,2019-02-27 05:04:58,2019-02-27,0
céu claro,12,1024,67,6,0,DARK,4:00,2019-02-27 04:04:58,2019-02-27,0
céu claro,12,1024,81,2,0,DARK,3:00,2019-02-27 03:04:58,2019-02-27,0
céu claro,12,1024,76,2,0,DARK,2:00,2019-02-27 02:04:59,2019-02-27,0
