DS;DM;F
Dom;01.07.2018;0
Seg;02.07.2018;0
Ter;03.07.2018;0
Qua;04.07.2018;0
Qui;05.07.2018;0
Sex;06.07.2018;0
Sáb;07.07.2018;0
Dom;08.07.2018;0
Seg;09.07.2018;0
Ter;10.07.2018;0
Qua;11.07.2018;0
Qui;12.07.2018;0
Sex;13.07.2018;0
Sáb;14.07.2018;0
Dom;15.07.2018;0
Seg;16.07.2018;0
Ter;17.07.2018;0
Qua;18.07.2018;0
Qui;19.07.2018;0
Sex;20.07.2018;0
Sáb;21.07.2018;0
Dom;22.07.2018;0
Seg;23.07.2018;0
Ter;24.07.2018;0
Qua;25.07.2018;0
Qui;26.07.2018;0
Sex;27.07.2018;0
Sáb;28.07.2018;0
Dom;29.07.2018;0
Seg;30.07.2018;0
Ter;31.07.2018;0
Qua;01.08.2018;0
Qui;02.08.2018;0
Sex;03.08.2018;0
Sáb;04.08.2018;0
Dom;05.08.2018;0
Seg;06.08.2018;0
Ter;07.08.2018;0
Qua;08.08.2018;0
Qui;09.08.2018;0
Sex;10.08.2018;0
Sáb;11.08.2018;0
Dom;12.08.2018;0
Seg;13.08.2018;0
Ter;14.08.2018;0
Qua;15.08.2018;1
Qui;16.08.2018;0
Sex;17.08.2018;0
Sáb;18.08.2018;0
Dom;19.08.2018;0
Seg;20.08.2018;0
Ter;21.08.2018;0
Qua;22.08.2018;0
Qui;23.08.2018;0
Sex;24.08.2018;0
Sáb;25.08.2018;0
Dom;26.08.2018;0
Seg;27.08.2018;0
Ter;28.08.2018;0
Qua;29.08.2018;0
Qui;30.08.2018;0
Sex;31.08.2018;0
Sáb;01.09.2018;0
Dom;02.09.2018;0
Seg;03.09.2018;0
Ter;04.09.2018;0
Qua;05.09.2018;0
Qui;06.09.2018;0
Sex;07.09.2018;0
Sáb;08.09.2018;0
Dom;09.09.2018;0
Seg;10.09.2018;0
Ter;11.09.2018;0
Qua;12.09.2018;0
Qui;13.09.2018;0
Sex;14.09.2018;0
Sáb;15.09.2018;0
Dom;16.09.2018;0
Seg;17.09.2018;0
Ter;18.09.2018;0
Qua;19.09.2018;0
Qui;20.09.2018;0
Sex;21.09.2018;0
Sáb;22.09.2018;0
Dom;23.09.2018;0
Seg;24.09.2018;0
Ter;25.09.2018;0
Qua;26.09.2018;0
Qui;27.09.2018;0
Sex;28.09.2018;0
Sáb;29.09.2018;0
Dom;30.09.2018;0
Seg;01.10.2018;0
Ter;02.10.2018;0
Qua;03.10.2018;0
Qui;04.10.2018;0
Sex;05.10.2018;1
Sáb;06.10.2018;0
Dom;07.10.2018;0
Seg;08.10.2018;0
Ter;09.10.2018;0
Qua;10.10.2018;0
Qui;11.10.2018;0
Sex;12.10.2018;0
Sáb;13.10.2018;0
Dom;14.10.2018;0
Seg;15.10.2018;0
Ter;16.10.2018;0
Qua;17.10.2018;0
Qui;18.10.2018;0
Sex;19.10.2018;0
Sáb;20.10.2018;0
Dom;21.10.2018;0
Seg;22.10.2018;0
Ter;23.10.2018;0
Qua;24.10.2018;0
Qui;25.10.2018;0
Sex;26.10.2018;0
Sáb;27.10.2018;0
Dom;28.10.2018;0
Seg;29.10.2018;0
Ter;30.10.2018;0
Qua;31.10.2018;0
